code,name,market,industry_name,industry_code
3380,明泰,listed,通信網路業,24
3406,玉晶光,listed,光電業,1
3413,京鼎,listed,半導體業,5
3416,融程電,listed,電腦及週邊設備業,33
3419,譁裕,listed,通信網路業,24
3432,台端,listed,電子零組件業,31
3437,榮創,listed,光電業,1
3443,創意,listed,半導體業,5
3447,展達,listed,通信網路業,24
3450,聯鈞,listed,半導體業,5
3454,晶睿,listed,光電業,1
3481,群創,listed,光電業,1
3494,誠研,listed,電腦及週邊設備業,33
3501,維熹,listed,電子零組件業,31
3504,揚明光,listed,光電業,1
3515,華擎,listed,電腦及週邊設備業,33
3518,柏騰,listed,其他電子業,3
3528,安馳,listed,電子通路業,30
3530,晶相光,listed,半導體業,5
3532,台勝科,listed,半導體業,5
3533,嘉澤,listed,電子零組件業,31
3535,晶彩科,listed,光電業,1
3543,州巧,listed,光電業,1
3545,敦泰,listed,半導體業,5
3550,聯穎,listed,電子零組件業,31
3557,嘉威,listed,居家生活,7
3563,牧德,listed,光電業,1
3576,聯合再生,listed,光電業,1
3583,辛耘,listed,半導體業,5
3588,通嘉,listed,半導體業,5
3591,艾笛森,listed,光電業,1
3592,瑞鼎,listed,半導體業,5
3593,力銘,listed,電子零組件業,31
3596,智易,listed,通信網路業,24
3605,宏致,listed,電子零組件業,31
3607,谷崧,listed,電子零組件業,31
3617,碩天,listed,其他電子業,3
3622,洋華,listed,光電業,1
3645,達邁,listed,電子零組件業,31
3652,精聯,listed,電腦及週邊設備業,33
3653,健策,listed,電子零組件業,31
3661,世芯-KY,listed,半導體業,5
3665,貿聯-KY,listed,其他電子業,3
3669,圓展,listed,通信網路業,24
3673,TPK-KY,listed,光電業,1
3679,新至陞,listed,電子零組件業,31
3686,達能,listed,半導體業,5
3694,海華,listed,通信網路業,24
3701,大眾控,listed,電腦及週邊設備業,33
3702,大聯大,listed,電子通路業,30
3703,欣陸,listed,建材營造業,8
3704,合勤控,listed,通信網路業,24
3705,永信,listed,生技醫療業,16
3706,神達,listed,電腦及週邊設備業,33
3708,上緯投控,listed,綠能環保,18
3711,日月光投控,listed,半導體業,5
3712,永崴投控,listed,電腦及週邊設備業,33
3714,富采,listed,光電業,1
3715,定穎投控,listed,電子零組件業,31
3716,中化控股,listed,生技醫療業,16
3717,聯嘉投控,listed,汽車工業,13
4104,佳醫,listed,生技醫療業,16
4106,雃博,listed,生技醫療業,16
4108,懷特,listed,生技醫療業,16
4119,旭富,listed,生技醫療業,16
4133,亞諾法,listed,生技醫療業,16
4137,麗豐-KY,listed,生技醫療業,16
4142,國光生,listed,生技醫療業,16
4148,全宇生技-KY,listed,生技醫療業,16
4155,訊映,listed,生技醫療業,16
4164,承業醫,listed,生技醫療業,16
4190,佐登-KY,listed,生技醫療業,16
4306,炎洲,listed,塑膠工業,6
4414,如興,listed,紡織纖維,17
4426,利勤,listed,紡織纖維,17
4438,廣越,listed,紡織纖維,17
4439,冠星-KY,listed,紡織纖維,17
4440,宜新實業,listed,紡織纖維,17
4441,振大環球,listed,紡織纖維,17
4526,東台,listed,電機機械,32
4532,瑞智,listed,電機機械,32
4536,拓凱,listed,運動休閒,26
4540,全球傳動,listed,電機機械,32
4545,銘鈺,listed,電子零組件業,31
4551,智伸科,listed,汽車工業,13
4552,力達-KY,listed,電機機械,32
4555,氣立,listed,電機機械,32
4557,永新-KY,listed,汽車工業,13
4560,強信-KY,listed,電機機械,32
4562,穎漢,listed,電機機械,32
4564,元翎,listed,電機機械,32
4566,時碩工業,listed,電機機械,32
4569,六方科-KY,listed,汽車工業,13
4571,鈞興-KY,listed,電機機械,32
4572,駐龍,listed,電機機械,32
4576,大銀微系統,listed,電機機械,32
4581,光隆精密-KY,listed,汽車工業,13
4583,台灣精銳,listed,電機機械,32
4585,達明,listed,其他電子業,3
4588,玖鼎電力,listed,其他電子業,3
4720,德淵,listed,化學工業,4
4722,國精化,listed,化學工業,4
4736,泰博,listed,生技醫療業,16
4737,華廣,listed,生技醫療業,16
4739,康普,listed,化學工業,4
4746,台耀,listed,生技醫療業,16
4755,三福化,listed,化學工業,4
4763,材料*-KY,listed,化學工業,4
4764,雙鍵,listed,化學工業,4
4766,南寶,listed,化學工業,4
4770,上品,listed,化學工業,4
4771,望隼,listed,生技醫療業,16
4807,日成-KY,listed,貿易百貨業,21
4904,遠傳,listed,通信網路業,24
